support,itemsets,len
0.047197938248521906,['22138'],1
0.008691697407650715,['85176'],1
0.008843296781039971,['51014C'],1
0.008843296781039971,['22588'],1
0.009298094901207742,['23346'],1
0.009449694274596998,['22210'],1
0.00955076052352317,['22188'],1
0.008691697407650715,['22315'],1
0.009651826772449341,['23289'],1
0.009853959270301683,['48173C'],1
0.009904492394764769,['22211'],1
0.010308757390469452,['22974'],1
0.010409823639395624,['22743'],1
0.010409823639395624,['22792'],1
0.010510889888321795,['23504'],1
0.009853959270301683,['85184C'],1
0.010561423012784881,['22921'],1
0.008590631158724544,['22375'],1
0.00828743241194603,['21619'],1
0.007074637424831978,['21470'],1
0.007327303047147405,['23221'],1
0.007327303047147405,['22249'],1
0.007377836171610491,['22023'],1
0.007478902420536662,['22639'],1
0.0076305017939259185,['23119'],1
0.008489564909798374,['22364'],1
0.007832634291778261,['23133'],1
0.007883167416241347,['84535B'],1
0.008034766789630603,['22679'],1
0.008085299914093689,['23211'],1
0.008135833038556774,['22587'],1
0.008236899287482944,['21773'],1
0.00828743241194603,['22675'],1
0.007832634291778261,['84078A'],1
0.010611956137247965,['23395'],1
0.010662489261711051,['21991'],1
0.010713022386174137,['21390'],1
0.012431148617919045,['47593B'],1
0.012987012987012988,['23100'],1
0.013492344231643843,['22274'],1
0.013846076102885442,['23144'],1
0.014149274849663955,['22208'],1
0.014149274849663955,['21899'],1
0.012431148617919045,['21519'],1
0.01419980797412704,['22563'],1
0.014957804841073324,['22508'],1
0.01510940421446258,['22294'],1
0.01510940421446258,['22605'],1
0.01601900045479812,['22970'],1
0.016069533579261205,['22296'],1
0.016069533579261205,['22739'],1
0.014452473596442469,['21429'],1
0.012380615493455961,['22494'],1
0.012330082368992875,['35961'],1
0.012229016120066704,['22920'],1
0.010814088635100309,['22841'],1
0.010965688008489564,['22360'],1
0.010965688008489564,['23397'],1
0.011117287381878822,['22550'],1
0.011218353630804992,['23286'],1
0.01136995300419425,['22335'],1
0.011471019253120421,['22433'],1
0.011572085502046591,['23393'],1
0.011976350497751276,['22916'],1
0.012026883622214362,['22978'],1
0.012026883622214362,['22918'],1
0.012127949871140532,['20682'],1
0.012127949871140532,['22919'],1
0.012127949871140532,['22917'],1
0.012178482995603618,['84792'],1
0.007024104300368892,['21775'],1
0.01627166607711355,['23174'],1
0.007377836171610491,['22203'],1
0.04168982768204558,['85099F'],1
0.009348628025670828,['23288'],1
0.009449694274596998,['22674'],1
0.009449694274596998,['22564'],1
0.00955076052352317,['22930'],1
0.009752893021375511,['21866'],1
0.009955025519227854,['22439'],1
0.008893829905503057,['23162'],1
0.010005558643690939,['22636'],1
0.01046035676385871,['22377'],1
0.010561423012784881,['23163'],1
0.010561423012784881,['21922'],1
0.010611956137247965,['21243'],1
0.010662489261711051,['22562'],1
0.010662489261711051,['22897'],1
0.010157158017080196,['22839'],1
0.010814088635100309,['21561'],1
0.008843296781039971,['21577'],1
0.008691697407650715,['22744'],1
0.011774217999898935,['22530'],1
0.01318914548486533,['22534'],1
0.016979129819596747,['21498'],1
0.01920258729597251,['22492'],1
0.01136995300419425,['20996'],1
0.013997675476274698,['20992'],1
0.008742230532113801,['22945'],1
0.007125170549295063,['23189'],1
0.007478902420536662,['21913'],1
0.007782101167315175,['85231B'],1
0.007832634291778261,['22609'],1
0.008034766789630603,['22680'],1
0.008337965536409116,['84580'],1
0.00864116428318763,['22603'],1
0.007276769922684319,['22671'],1
0.010814088635100309,['23242'],1
0.011066754257415736,['22672'],1
0.011117287381878822,['22801'],1
0.01601900045479812,['21385'],1
0.016726464197281316,['10133'],1
0.016827530446207488,['20677'],1
0.017433927939764515,['84536A'],1
0.018444590429026228,['22192'],1
0.01920258729597251,['22752'],1
0.015412602961241093,['20969'],1
0.020971246652180503,['22191'],1
0.02501389660922735,['47591D'],1
0.025468694729395117,['22766'],1
0.025771893476173632,['84988'],1
0.02647935721865683,['22189'],1
0.02703522158775077,['84836'],1
0.037445045227146395,['21733'],1
0.022891505381777755,['21210'],1
0.015412602961241093,['82578'],1
0.015311536712314923,['22158'],1
0.01510940421446258,['22784'],1
0.011117287381878822,['22493'],1
0.011218353630804992,['22222'],1
0.011319419879731164,['21878'],1
0.01136995300419425,['21917'],1
0.011521552377583505,['22115'],1
0.011673151750972763,['21715'],1
0.011774217999898935,['23329'],1
0.012077416746677448,['17003'],1
0.012178482995603618,['20828'],1
0.012431148617919045,['84596G'],1
0.01283541361362373,['22772'],1
0.013088079235939158,['22737'],1
0.013694476729496185,['22840'],1
0.01465460609429481,['84949'],1
0.014705139218757896,['22131'],1
0.05846682500378998,['22382'],1
0.016524331699428976,['23236'],1
0.01809085855778463,['21156'],1
0.01884885542473091,['22169'],1
0.009298094901207742,['21864'],1
0.009702359896912427,['22187'],1
0.009955025519227854,['22733'],1
0.010409823639395624,['21955'],1
