support,itemsets,len
0.05225125069483046,['20724'],1
0.053868310677649196,['22699'],1
0.06998837738137349,['22720'],1
0.053110313810702914,['22727'],1
0.05725403001667593,['22960'],1
0.05871949062610541,['22961'],1
0.0542220425488908,['22993'],1
0.05129112133003184,['22697'],1
0.050229925716307036,['23084'],1
0.05235231694375663,['23206'],1
0.055485370660467936,['23209'],1
0.05791096063469604,['23298'],1
0.08524938096922532,['47566'],1
0.055586436909394105,['82482'],1
0.07362676234271565,['84879'],1
0.06220627621405832,['23203'],1
0.05644550002526656,['22666'],1
0.060690282480165746,['22469'],1
0.06311587245439386,['22457'],1
0.07918540603365506,['20725'],1
0.05144272070342109,['20726'],1
0.06437920056597099,['20727'],1
0.05811309313254839,['20728'],1
0.0668047905401991,['21212'],1
0.059831219364293295,['21931'],1
0.05861842437717924,['22086'],1
0.052402850068219715,['22178'],1
0.0703421092526151,['22197'],1
0.05846682500378998,['22382'],1
0.06498559805952803,['22383'],1
0.05508110566476325,['22384'],1
0.0615493455960382,['22386'],1
0.05942695436858861,['22411'],1
0.10051038455707717,['22423'],1
0.10571529637677497,['85099B'],1
0.11465965940674112,['85123A'],1
