support,itemsets
0.047197938248521906,frozenset({'22138'})
0.038304108343018846,frozenset({'23300'})
0.019960584162918793,frozenset({'22371'})
0.010510889888321795,frozenset({'22485'})
0.007478902420536662,frozenset({'21875'})
0.006063974935570266,frozenset({'23251'})
0.01500833796553641,frozenset({'22721'})
0.014907271716610238,frozenset({'22723'})
0.014452473596442469,frozenset({'22380'})
0.013239678609328415,frozenset({'22596'})
0.010005558643690939,frozenset({'22956'})
0.008994896154429229,frozenset({'23239'})
0.008944363029966143,frozenset({'22581'})
0.00818636616301986,frozenset({'22664'})
0.007125170549295063,frozenset({'21705'})
0.006821971802516549,frozenset({'22955'})
0.0053565111930870685,frozenset({'22119'})
0.005305978068623983,frozenset({'23235'})
0.0703421092526151,frozenset({'22197'})
0.06998837738137349,frozenset({'22720'})
0.05644550002526656,frozenset({'22666'})
0.053110313810702914,frozenset({'22727'})
0.04957299509828693,frozenset({'22726'})
0.04340795391379049,frozenset({'22112'})
0.04270049017130729,frozenset({'21181'})
0.04088129769063621,frozenset({'21175'})
0.03956743645459599,frozenset({'22728'})
0.03441305775936126,frozenset({'22467'})
0.03421092526150892,frozenset({'85152'})
0.033250795896710296,frozenset({'22835'})
0.0325433321542271,frozenset({'22114'})
0.02885441406842185,frozenset({'22730'})
0.027894284703623224,frozenset({'23293'})
0.027540552832381625,frozenset({'82600'})
0.027085754712213857,frozenset({'23240'})
0.026984688463287686,frozenset({'22998'})
0.026630956592046087,frozenset({'84596B'})
0.02521602910707969,frozenset({'21479'})
0.024761230986911922,frozenset({'21481'})
0.024003234119965636,frozenset({'23198'})
0.02375056849765021,frozenset({'23243'})
0.023649502248724037,frozenset({'21908'})
0.023447369750871697,frozenset({'22667'})
0.022790439132851583,frozenset({'21154'})
0.0227399060083885,frozenset({'21169'})
0.022588306634999243,frozenset({'84596F'})
0.02172924351912679,frozenset({'21216'})
0.020971246652180503,frozenset({'23493'})
0.020465915407549648,frozenset({'82581'})
0.020061650411844965,frozenset({'22631'})
0.01804032543332154,frozenset({'21871'})
0.017130729192986003,frozenset({'21533'})
0.01702966294405983,frozenset({'23168'})
0.01591793420587195,frozenset({'47559B'})
0.015412602961241093,frozenset({'22693'})
0.015210470463388751,frozenset({'22670'})
0.014907271716610238,frozenset({'21874'})
0.014149274849663955,frozenset({'23165'})
0.01409874172520087,frozenset({'84510A'})
0.014048208600737784,frozenset({'23000'})
0.013340744858254585,frozenset({'23184'})
0.012582747991308303,frozenset({'23197'})
0.012481681742382131,frozenset({'23166'})
0.011673151750972763,frozenset({'23167'})
0.011167820506341908,frozenset({'23004'})
0.01101622113295265,frozenset({'22994'})
0.009702359896912427,frozenset({'23002'})
0.009601293647986255,frozenset({'22628'})
0.008590631158724544,frozenset({'21158'})
0.00818636616301986,frozenset({'21162'})
0.007731568042852089,frozenset({'72760B'})
0.0071757036737581485,frozenset({'21872'})
0.0062661074334226085,frozenset({'21159'})
0.005962908686644095,frozenset({'47504H'})
0.06311587245439386,frozenset({'22457'})
0.060690282480165746,frozenset({'22469'})
0.030825205922482186,frozenset({'22909'})
0.025620294102784377,frozenset({'84970L'})
0.017787659811006114,frozenset({'22464'})
0.012936479862549902,frozenset({'20982'})
0.012582747991308303,frozenset({'20981'})
0.011824751124362019,frozenset({'48111'})
0.006821971802516549,frozenset({'23424'})
0.005508110566476325,frozenset({'23338'})
0.045732477639092425,frozenset({'84946'})
0.027591085956844712,frozenset({'84997D'})
0.02703522158775077,frozenset({'84077'})
0.022689372883925415,frozenset({'22749'})
0.020061650411844965,frozenset({'84997C'})
0.017534994188690686,frozenset({'84947'})
0.017433927939764515,frozenset({'22791'})
0.017181262317449087,frozenset({'21326'})
0.01692859669513366,frozenset({'23503'})
0.01500833796553641,frozenset({'23082'})
0.014705139218757896,frozenset({'23126'})
0.013391277982717671,frozenset({'22170'})
0.011521552377583505,frozenset({'22747'})
0.009803426145838597,frozenset({'23127'})
0.009702359896912427,frozenset({'22078'})
0.005103845570771641,frozenset({'23445'})
0.01647379857496589,frozenset({'22087'})
0.05942695436858861,frozenset({'22411'})
0.03956743645459599,frozenset({'23355'})
0.02420536661781798,frozenset({'22633'})
0.02319470412855627,frozenset({'84029G'})
0.0227399060083885,frozenset({'84347'})
0.02172924351912679,frozenset({'84029E'})
0.011622618626509677,frozenset({'23302'})
0.008742230532113801,frozenset({'22059'})
0.008236899287482944,frozenset({'22072'})
0.00818636616301986,frozenset({'21115'})
0.006367173682348779,frozenset({'22476'})
0.006165041184496438,frozenset({'22123'})
0.023447369750871697,frozenset({'22617'})
0.019354186669361766,frozenset({'20749'})
0.013138612360402244,frozenset({'22768'})
