support,itemsets,len
0.016726464197281316,[7],1
0.05871949062610541,[1810],1
0.01728232856637526,[1811],1
0.015513669210167265,[1812],1
0.01910152104704634,[1813],1
0.011976350497751276,[1814],1
0.03385719339026732,[1815],1
0.032644398403153266,[1818],1
0.01601900045479812,[1819],1
0.01374500985395927,[1820],1
0.011572085502046591,[1821],1
0.05725403001667593,[1809],1
0.010308757390469452,[1823],1
0.019253120420435595,[1828],1
0.014705139218757896,[1829],1
0.010713022386174137,[1831],1
0.022436707261609984,[1832],1
0.021122846025569762,[1837],1
0.018798322300267827,[1838],1
0.013896609227348526,[1840],1
0.017636060437616858,[1841],1
0.0542220425488908,[1842],1
0.01101622113295265,[1843],1
0.012026883622214362,[1827],1
0.013441811107180757,[1844],1
0.010814088635100309,[1807],1
0.03128000404264996,[1802],1
0.014351407347516297,[1746],1
0.014553539845368639,[1747],1
0.010662489261711051,[1748],1
0.018444590429026228,[1749],1
0.015867401081408862,[1750],1
0.026934155338824598,[1751],1
0.013694476729496185,[1754],1
0.012734347364697559,[1756],1
0.03385719339026732,[1757],1
0.018949921673657083,[1758],1
0.010005558643690939,[1806],1
0.030825205922482186,[1759],1
0.011976350497751276,[1766],1
0.012127949871140532,[1767],1
0.012026883622214362,[1768],1
0.012127949871140532,[1769],1
0.012229016120066704,[1770],1
0.010561423012784881,[1771],1
0.01627166607711355,[1790],1
0.015715801708019606,[1791],1
0.010611956137247965,[1793],1
0.022082975390368388,[1801],1
0.04143716205973015,[1760],1
0.010056091768154024,[1743],1
0.020617514780938904,[1845],1
0.026984688463287686,[1847],1
0.013037546111476072,[1956],1
0.014705139218757896,[1964],1
0.013846076102885442,[1982],1
0.011471019253120421,[1984],1
0.01318914548486533,[1985],1
0.012481681742382131,[1986],1
0.011875284248825104,[1992],1
0.010359290514932538,[1994],1
0.012885946738086816,[1996],1
0.011268886755268078,[1997],1
0.012178482995603618,[1950],1
0.010561423012784881,[2001],1
0.012481681742382131,[2004],1
0.011673151750972763,[2005],1
0.01702966294405983,[2006],1
0.01591793420587195,[2007],1
0.02248724038607307,[2008],1
0.019253120420435595,[2009],1
0.015412602961241093,[2010],1
0.02102177977664359,[2011],1
0.01627166607711355,[2012],1
0.016625397948355148,[2013],1
0.014149274849663955,[2003],1
0.011218353630804992,[1846],1
0.012885946738086816,[1948],1
0.018798322300267827,[1946],1
0.011218353630804992,[1848],1
0.014048208600737784,[1849],1
0.011167820506341908,[1852],1
0.012178482995603618,[1853],1
0.012431148617919045,[1859],1
0.011268886755268078,[1860],1
0.010561423012784881,[1861],1
0.010056091768154024,[1878],1
0.010359290514932538,[1895],1
0.014048208600737784,[1897],1
0.013542877356106929,[1947],1
0.013997675476274698,[1918],1
0.012987012987012988,[1920],1
0.012987012987012988,[1922],1
0.01500833796553641,[1924],1
0.012431148617919045,[1925],1
0.050229925716307036,[1926],1
0.01136995300419425,[1931],1
0.010561423012784881,[1933],1
0.012987012987012988,[1939],1
0.010763555510637223,[1940],1
0.018444590429026228,[1942],1
0.01738339481530143,[1919],1
0.011420486128657335,[2014],1
0.027995350952549396,[1718],1
0.03304866339885795,[1716],1
0.015412602961241093,[1551],1
0.020465915407549648,[1552],1
0.05129112133003184,[1555],1
0.03870837333872353,[1556],1
0.053868310677649196,[1557],1
0.015766334832482694,[1570],1
0.010965688008489564,[1571],1
0.01136995300419425,[1572],1
0.014553539845368639,[1574],1
0.06998837738137349,[1578],1
0.022638839759462327,[1550],1
0.01500833796553641,[1579],1
0.014907271716610238,[1581],1
0.021628177270200617,[1582],1
0.04957299509828693,[1583],1
0.053110313810702914,[1584],1
0.03956743645459599,[1585],1
0.02248724038607307,[1586],1
