support,itemsets
0.0703421092526151,frozenset({'22197'})
0.06998837738137349,frozenset({'22720'})
0.05644550002526656,frozenset({'22666'})
0.053110313810702914,frozenset({'22727'})
0.06311587245439386,frozenset({'22457'})
0.060690282480165746,frozenset({'22469'})
0.05942695436858861,frozenset({'22411'})
0.10571529637677497,frozenset({'85099B'})
0.06220627621405832,frozenset({'23203'})
0.05861842437717924,frozenset({'22086'})
0.11465965940674112,frozenset({'85123A'})
0.08524938096922532,frozenset({'47566'})
0.07918540603365506,frozenset({'20725'})
0.07362676234271565,frozenset({'84879'})
0.0668047905401991,frozenset({'21212'})
0.06437920056597099,frozenset({'20727'})
0.059831219364293295,frozenset({'21931'})
0.05871949062610541,frozenset({'22961'})
0.05811309313254839,frozenset({'20728'})
0.05791096063469604,frozenset({'23298'})
0.05725403001667593,frozenset({'22960'})
0.0542220425488908,frozenset({'22993'})
0.053868310677649196,frozenset({'22699'})
0.052402850068219715,frozenset({'22178'})
0.05235231694375663,frozenset({'23206'})
0.05225125069483046,frozenset({'20724'})
0.05144272070342109,frozenset({'20726'})
0.05129112133003184,frozenset({'22697'})
0.050229925716307036,frozenset({'23084'})
0.10051038455707717,frozenset({'22423'})
0.06498559805952803,frozenset({'22383'})
0.0615493455960382,frozenset({'22386'})
0.055586436909394105,frozenset({'82482'})
0.05508110566476325,frozenset({'22384'})
0.055485370660467936,frozenset({'23209'})
0.05846682500378998,frozenset({'22382'})
